Model type,Model Knowledge,Tree number,Actual sensitivity one,Actual sensitivity two,Actual specificity one,Actual specificity two,Sensitivity Error,Specificity Error,Low Prevalence,High Prevalence,Covdp,Covdp max,Covdp min,Covdn,Covdn max,Covdn min
no cov,Poor,100,0.908900836,0.87887527,0.727598566,0.96629416,0.076303713,0.030878825,0.27,0.62,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.489473684,0.993333333,0.693333333,0.795348837,0.078117456,0.063714844,0.25,0.57,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.741071429,0.903409091,0.875,0.804924242,NA,NA,0.28,0.56,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.357589286,1,0.312053571,0.815686275,0.032501928,0.095132139,0.32,0.7,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.882591093,0.810496543,0.751349528,0.938089252,NA,NA,0.26,0.57,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.771646859,0.867880013,0.572439162,0.956521739,0.046713985,0.046023174,0.31,0.57,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.615,0.83875,0.695,0.85625,0.065269809,0.011925421,0.2,0.5,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.658770161,0.791795666,0.470766129,0.86493808,0.056674191,0.097292828,0.32,0.62,NA,NA,NA,NA,NA,NA
no cov,Poor,100,0.871929825,0.815946844,0.921929825,0.85166113,0.053028664,0.011459491,0.3,0.57,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.606349206,0.856521739,0.730952381,0.941137124,0.05387776,0.166296804,0.35,0.54,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.777192982,0.656350626,0.641102757,0.938282648,0.018958632,0.270094841,0.35,0.57,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.610606061,0.726984127,0.443939394,0.788888889,0.057067249,0.119657068,0.3,0.55,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.490852191,0.768774704,0.458353394,0.903162055,0.137329474,0.099803501,0.31,0.67,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.624242424,0.807142857,0.586363636,1,0.043357331,0.260275815,0.3,0.55,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.636904762,0.830555556,0.648809524,0.630555556,0.007171193,0.203959224,0.28,0.6,NA,NA,NA,NA,NA,NA
no cov,Good one,100,0.408571429,0.853333333,0.614285714,0.916666667,0.047319076,0.103897884,0.25,0.7,NA,NA,NA,NA,NA,NA
