Model type,Model Knowledge,Tree number,Actual sensitivity one,Actual sensitivity two,Actual specificity one,Actual specificity two,Sensitivity Error,Specificity Error,Low Prevalence,High Prevalence,Covdp,Covdp max,Covdp min,Covdn,Covdn max,Covdn min
cov,Good one,100,0.606469003,0.966284779,0.601886792,0.869885434,0.015219579,0.062187776,0.35,0.53,0.187241736,0.232696281,-0.153667355,0.01307398,0.030931122,-0.004783163
cov,Good one,100,0.556955645,0.800696594,0.460685484,0.696594427,0.192920065,0.095394014,0.32,0.62,0.162290629,0.194205523,-0.220688094,0.124065504,0.133499466,-0.055179779
cov,Good one,100,0.6784634,0.880936783,0.704174229,0.796757288,0.00142118,0.022638985,0.29,0.57,0.137641969,0.20740941,-0.094916171,0.091028009,0.091028009,-0.023007079
cov,Good one,100,0.855660377,0.939513678,0.732389937,0.765045593,0.166674871,0.067757678,0.3,0.53,0.101175787,0.11322398,-0.043402526,0.036963986,0.045510994,-0.014318066
cov,Good one,100,0.757640068,0.874787776,0.65959253,0.736417657,0.06439275,0.053600844,0.38,0.62,0.105,0.165,-0.085,0.0849,0.0949,-0.0351
cov,Good both,100,0.813616071,0.986111111,0.7265625,0.875,0.105366601,0.12130569,0.28,0.64,0.123345936,0.155954631,-0.061436673,0.01611797,0.01611797,-0.002400549
cov,Good both,100,0.610856619,0.718157182,0.58886853,0.630274874,0.10157416,0.088905262,0.37,0.59,0.114257813,0.228841146,-0.156575521,0.142011834,0.170857988,-0.098372781
cov,Good both,100,0.744421907,0.858225108,0.727180527,0.805194805,0.01208999,0.035167532,0.34,0.58,0.111058601,0.187145558,-0.073724008,0.061042524,0.098079561,-0.022290809
cov,Good both,100,0.732251521,0.907790493,0.70030426,0.790492958,0.015507741,0.025255122,0.29,0.68,0.140716335,0.192262727,-0.086087788,0.045056084,0.054764822,-0.013196343
cov,Good both,100,0.75037037,0.797971014,0.711851852,0.690289855,0.036795396,0.040441165,0.25,0.54,0.154141964,0.17945842,-0.073706137,0.104637661,0.137695513,-0.060651595
cov,Good both,100,0.702346041,0.871497585,0.59941349,0.710144928,0.004630378,0.011320929,0.31,0.55,0.152514873,0.175770687,-0.114926988,0.088334872,0.088334872,-0.034472145
cov,Good both,100,0.787878788,0.783193277,0.666666667,0.710504202,0.033849627,0.013714086,0.3,0.66,0.131944444,0.152777778,-0.076388889,0.12352071,0.161982249,-0.068786982
cov,Good both,100,0.744736842,0.985714286,0.666666667,0.753322259,0.053971494,0.101463889,0.3,0.57,0.126436782,0.16091954,-0.08045977,0.004620565,0.013470123,-0.004228992
cov,Good both,100,0.611458333,0.940441176,0.578125,0.871323529,0.017149302,0.070050206,0.32,0.6,0.168596408,0.222944234,-0.179229679,0.03909465,0.048353909,-0.007201646
cov,Good both,100,0.791316527,0.779903628,0.698529412,0.629676871,0.130389781,0.020364826,0.28,0.51,0.143086044,0.155744272,-0.07210383,0.094255857,0.143842634,-0.079297862
cov,Good both,100,0.861111111,0.880148741,0.662037037,0.751430206,0.101189862,0.020475163,0.24,0.54,0.050295858,0.088757396,-0.039447732,0.073904864,0.082101586,-0.024455791
cov,Good both,100,0.524313914,0.843214756,0.565238325,0.666007905,0.156145371,0.056253082,0.31,0.67,0.185131195,0.236151603,-0.192419825,0.083044983,0.092848904,-0.044405998
cov,Good both,100,0.335352815,0.896769897,0.428011404,0.761238761,0.221379445,0.024981461,0.23,0.61,0.150085034,0.197704082,-0.338010204,0.069857313,0.078478002,-0.024970273
cov,Good both,100,0.894200627,0.802197802,0.786050157,0.782967033,0.130721842,0.002345216,0.22,0.58,0.05390625,0.09140625,-0.02109375,0.105,0.155,-0.045
cov,Good both,100,0.531045752,0.913961039,0.493872549,0.827380952,0.061888051,0.082787597,0.34,0.72,0.193396226,0.240566038,-0.259433962,0.066998642,0.088275238,-0.018107741
cov,Good both,100,0.799507389,0.98040293,0.733497537,0.796336996,0.087565999,0.126459527,0.35,0.58,0.120013874,0.141519251,-0.052029136,0.015023146,0.015023146,-0.003668443
cov,Good both,100,0.667307692,0.788095238,0.721153846,0.68234127,0.015375605,0.053681946,0.28,0.65,0.162677766,0.184183143,-0.106139438,0.118875011,0.1375666,-0.058695083
cov,Good both,100,0.740664845,0.943108974,0.675091075,0.854967949,0.041343759,0.101997129,0.36,0.61,0.134870868,0.165798703,-0.081623977,0.039494769,0.049203506,-0.009048921
cov,Good both,100,0.753143794,0.985507246,0.620010935,0.825026511,0.059108835,0.118538058,0.31,0.59,0.100740741,0.145185185,-0.088148148,0.006115702,0.015206612,-0.002975207
cov,Good both,100,0.380327869,0.708974359,0.404918033,0.639903846,0.191158662,0.119138073,0.2,0.61,0.170096022,0.219478738,-0.373113855,0.140879881,0.182896688,-0.111220959
cov,Good both,100,0.733436055,0.972879505,0.692860812,0.867127776,0.007275578,0.093370361,0.33,0.59,0.106332703,0.171550095,-0.06758034,0.014917695,0.024176955,-0.003600823
cov,Good both,100,0.88729097,0.861038961,0.745150502,0.74025974,0.086048443,0.011212136,0.23,0.65,0.079545455,0.090909091,-0.034090909,0.078125,0.087053571,-0.029017857
cov,Good both,100,0.504237288,0.944359756,0.557438795,0.725228659,0.072447496,0.053919288,0.36,0.59,0.170747922,0.223379501,-0.218725762,0.041360544,0.041360544,-0.015782313
cov,Good both,100,0.715673981,0.733959311,0.663009404,0.620970266,0.020277874,0.031673798,0.29,0.55,0.171060091,0.194869615,-0.102749433,0.136741974,0.171224732,-0.104637337
cov,Good both,100,0.634135472,0.911319073,0.595811052,0.770053476,0.053670593,0.069646022,0.34,0.66,0.1709,0.2109,-0.1591,0.036,0.056,-0.014
cov,Poor,120,0.670230263,0.869318182,0.606085526,0.693181818,0.040389161,0.008230818,0.266666667,0.633333333,0.142489712,0.198045267,-0.126028807,0.085399449,0.085399449,-0.035812672
cov,Poor,120,0.794319098,0.927387432,0.694399678,0.82285997,0.084902538,0.080227479,0.283333333,0.608333333,0.106734213,0.14411739,-0.061490086,0.047147945,0.062185539,-0.013002431
cov,Poor,120,0.601161996,0.886982416,0.588004101,0.803885423,0.055867346,0.02477557,0.316666667,0.641666667,0.156521739,0.234782609,-0.156521739,0.074496,0.090496,-0.021504
cov,Poor,120,0.737207602,0.930386179,0.683845029,0.782520325,0.052138472,0.08303473,0.316666667,0.6,0.123636364,0.178181818,-0.076363636,0.059171598,0.059171598,-0.017751479
cov,Poor,120,0.8,0.99,0.742857143,0.815882353,0.095873038,0.095228413,0.291666667,0.583333333,0.114739229,0.143310658,-0.047165533,0.006035665,0.006035665,-0.001371742
cov,Poor,120,0.641341991,0.775057471,0.642207792,0.716321839,0.074077204,0.069626076,0.275,0.583333333,0.153925912,0.231595815,-0.147044962,0.125366295,0.161862646,-0.064414726
cov,Poor,120,0.621972622,0.681003082,0.563004563,0.592743065,0.108770253,0.07888821,0.308333333,0.641666667,0.171745152,0.206832872,-0.161588181,0.165343915,0.189153439,-0.12037037
cov,Poor,120,0.92936332,0.776125994,0.735983529,0.696938475,0.134254353,0.086555367,0.341666667,0.641666667,0.054007469,0.062482045,-0.022263717,0.129602257,0.154192421,-0.067119054
cov,Poor,120,0.779132791,0.823308271,0.722560976,0.718358396,4.35222E-05,0.021227649,0.3,0.683333333,0.114478598,0.156851479,-0.063487504,0.110051062,0.118247783,-0.045686643
cov,Poor,120,0.754111842,0.835227273,0.778782895,0.727272727,0.000560364,0.009591085,0.266666667,0.633333333,0.096707819,0.170781893,-0.051440329,0.106060606,0.121212121,-0.045454545
cov,Poor,120,0.646041667,0.65770202,0.565833333,0.579166667,0.003650313,0.030773097,0.266666667,0.625,0.132937374,0.20770373,-0.175473841,0.12883713,0.196506303,-0.134320764
cov,Poor,120,0.51992377,0.870101986,0.465869716,0.761674718,0.037316119,0.133851182,0.325,0.616666667,0.144882136,0.215678597,-0.26219751,0.091388183,0.107136214,-0.034596069
cov,Poor,120,0.561890838,0.90554741,0.535575049,0.812927664,0.034935944,0.000282833,0.225,0.633333333,0.188142143,0.226977095,-0.190498633,0.041131653,0.070328734,-0.017262507
cov,Poor,120,0.657679739,0.948717949,0.642973856,0.851648352,0.045230325,0.083602336,0.3,0.566666667,0.159116124,0.216808432,-0.11973003,0.035467128,0.05017301,-0.008650519
cov,Poor,120,0.666611296,0.950519481,0.590697674,0.782597403,0.000107993,0.094353979,0.358333333,0.583333333,0.15349675,0.18889498,-0.129689091,0.029326059,0.037200074,-0.01004402
cov,Poor,120,0.693307758,0.805289558,0.575873828,0.703944368,0.051606175,0.041441033,0.283333333,0.575,0.135545292,0.184088981,-0.116881893,0.112525974,0.141723054,-0.062656508
cov,Poor,120,0.748680241,0.825023742,0.649509804,0.731006648,0.138000905,0.124930437,0.325,0.566666667,0.147349113,0.156694908,-0.086295746,0.119226638,0.134264232,-0.053705693
cov,Poor,120,0.676888427,0.742828457,0.62993763,0.689185313,0.056460559,0.055791246,0.308333333,0.65,0.160680529,0.20415879,-0.108884688,0.1248,0.1728,-0.0672
cov,Poor,120,0.819444444,0.712797619,0.652777778,0.674107143,0.111780074,0.084090023,0.3,0.6,0.101508916,0.120027435,-0.06515775,0.169421488,0.199724518,-0.103305785
cov,Poor,120,0.643073593,0.966149871,0.606926407,0.817054264,0.096424196,0.105892895,0.25,0.641666667,0.170669928,0.226744694,-0.184470259,0.023856634,0.031375431,-0.006218554
cov,Poor,120,0.680023923,0.868469175,0.618819777,0.708725183,0.022270588,0.035192363,0.275,0.633333333,0.161350055,0.18887299,-0.113879303,0.098595653,0.098595653,-0.038808927
cov,Poor,120,0.807789855,0.822426471,0.724818841,0.726102941,0.117607708,0.103621764,0.333333333,0.575,0.077939567,0.132985439,-0.0505008,0.075869705,0.136938407,-0.053901288
cov,Poor,120,0.686688312,0.835661765,0.623863636,0.763235294,0.039230771,0.008742478,0.291666667,0.733333333,0.157445965,0.206226453,-0.1189768,0.09270217,0.118343195,-0.035502959
cov,Poor,120,0.608108108,0.899947617,0.581081081,0.769643793,0.240850644,0.222767699,0.308333333,0.616666667,0.157779401,0.229851473,-0.202580959,0.0805841,0.088336037,-0.027943032
cov,Poor,120,0.818813131,0.858117816,0.732954545,0.719827586,0.084518716,0.063840173,0.275,0.6,0.111927438,0.130975057,-0.049977324,0.077860082,0.100082305,-0.040658436
cov,Good one,120,0.691441441,0.847567288,0.61524024,0.753623188,0.027653649,0.009590029,0.3,0.616666667,0.139090909,0.193636364,-0.106363636,0.09816568,0.113550296,-0.03260355
cov,Good one,120,0.688865546,0.91821267,0.65987395,0.772850679,0.041809688,0.027881446,0.291666667,0.566666667,0.143368838,0.201621265,-0.099349609,0.060472055,0.067771325,-0.019819916
cov,Good one,120,0.807692308,0.817901235,0.692307692,0.684303351,0.032003539,0.017998755,0.325,0.65,0.095989481,0.130177515,-0.057856673,0.093661181,0.126181506,-0.060810364
cov,Good one,120,0.599885845,0.964285714,0.544710807,0.842198582,0.026528103,0.070993878,0.3,0.608333333,0.198804814,0.217153438,-0.177341975,0.015558534,0.038459297,-0.007342229
cov,Good one,120,0.652777778,0.973214286,0.611111111,0.830357143,0.053760629,0.072024156,0.3,0.6,0.156721536,0.221536351,-0.130315501,0.01911157,0.01911157,-0.003615702
cov,Good one,120,0.740830756,0.808749701,0.596111357,0.765001195,0.002585221,0.029538127,0.258333333,0.608333333,0.121301775,0.159763314,-0.099852071,0.102076125,0.146193772,-0.044982699
cov,Good one,120,0.724891775,0.783877996,0.665151515,0.716557734,0.057077647,0.012407123,0.291666667,0.55,0.132045878,0.191451818,-0.115478875,0.11008747,0.160447182,-0.062574401
cov,Good one,120,0.86423445,0.933014354,0.663875598,0.755382775,0.182418465,0.166199343,0.366666667,0.633333333,0.080138889,0.096805556,-0.044861111,0.051666667,0.051666667,-0.015
cov,Good one,120,0.604946524,0.912955466,0.56684492,0.793522267,0.043951516,0.07420927,0.366666667,0.566666667,0.140306122,0.229591837,-0.172193878,0.047851563,0.063476563,-0.014648438
cov,Good one,120,0.787049109,0.940497875,0.689482834,0.823416312,0.075369031,0.062121655,0.325,0.491666667,0.119117035,0.139525198,-0.064556435,0.032334854,0.046419361,-0.009918667
cov,Good one,120,0.857789855,0.983946078,0.746557971,0.885784314,0.150231078,0.112962376,0.333333333,0.575,0.092079791,0.110428415,-0.036360576,0.005768895,0.013402482,-0.001864693
cov,Good one,120,0.640269151,0.961161388,0.570910973,0.851432881,0.017148538,0.06609337,0.35,0.575,0.171739307,0.207775343,-0.152585017,0.01724656,0.032750436,-0.006009254
cov,Good one,120,0.713425129,0.954435204,0.587636259,0.816354816,0.072727417,0.065558107,0.35,0.691666667,0.13568,0.15168,-0.08832,0.033497164,0.042192817,-0.009981096
cov,Good one,120,0.719738924,0.929323725,0.678401899,0.806679601,0.001770404,0.069876619,0.266666667,0.658333333,0.12734356,0.190406623,-0.115899683,0.047953849,0.055705787,-0.014061655
cov,Good one,120,0.58911085,1,0.597336467,0.865107489,0.001585719,0.075714307,0.308333333,0.575,0.180669277,0.227839089,-0.149519402,0,0,0
cov,Good one,120,0.64363354,0.806372549,0.571687371,0.668158568,0.005390595,0.027089394,0.233333333,0.575,0.134445743,0.206610692,-0.164523329,0.12391804,0.137904054,-0.071886156
cov,Good one,120,0.84078341,0.743258427,0.774654378,0.658314607,0.048689092,0.125844162,0.258333333,0.583333333,0.081168513,0.120772473,-0.037643368,0.149267636,0.163656125,-0.080948191
cov,Good one,120,0.744657448,0.934443657,0.62680704,0.827427356,0.020018074,0.079332394,0.308333333,0.716666667,0.152951286,0.169211448,-0.090951153,0.022499817,0.056687852,-0.011688217
cov,Good one,120,0.634469697,0.939074612,0.514880952,0.786337209,0.064427946,0.014133781,0.2,0.641666667,0.142829134,0.172532105,-0.144299578,0.040008281,0.047202526,-0.010351431
cov,Good one,120,0.822580645,0.894711352,0.733870968,0.738860907,0.106431441,0.007147,0.258333333,0.516666667,0.101630246,0.123135623,-0.0381547,0.061363321,0.074968763,-0.027072053
cov,Good one,120,0.694565217,0.756495098,0.65634058,0.70122549,0.0457931,0.087623746,0.333333333,0.575,0.127009511,0.191229694,-0.102348287,0.101101334,0.169803624,-0.066837597
cov,Good one,120,0.551664753,0.944095038,0.542097206,0.847542511,0.08447432,0.030020266,0.325,0.558333333,0.179690281,0.236294055,-0.188234247,0.042882602,0.050345288,-0.009356204
cov,Good one,120,0.522727273,0.933114035,0.545454545,0.799890351,0.047424298,0.048586057,0.366666667,0.6,0.163198573,0.24078478,-0.224732461,0.058532778,0.058532778,-0.014047867
cov,Good one,120,0.802855925,0.855791154,0.76683717,0.808937528,0.063587914,0.015320752,0.283333333,0.575,0.116033556,0.14515977,-0.049014987,0.081783792,0.118280143,-0.027705259
cov,Good one,120,0.651848152,0.904105656,0.574259074,0.820556991,0.077384823,0.020339158,0.325,0.641666667,0.133843639,0.194188466,-0.14201843,0.063475546,0.079604579,-0.017169615
cov,Good both,120,0.819651741,0.917115903,0.755597015,0.771226415,0.111461067,0.057990574,0.3,0.558333333,0.1105665,0.139692714,-0.044773306,0.061537642,0.061537642,-0.018754329
cov,Good both,120,0.693283582,0.69129979,0.615174129,0.674633124,0.03649346,0.104023801,0.25,0.558333333,0.167499203,0.18811776,-0.121160591,0.134040784,0.203970854,-0.096728446
cov,Good both,120,0.617262424,0.891462401,0.609197908,0.756231824,0.012623144,0.027210511,0.308333333,0.516666667,0.172023263,0.232629324,-0.15120906,0.073638147,0.080730346,-0.025652633
cov,Good both,120,0.536858974,0.861111111,0.550747863,0.747299383,0.05663549,0.016909807,0.325,0.6,0.159483808,0.240564889,-0.227903579,0.083588727,0.099092603,-0.032690343
cov,Good both,120,0.546739984,0.824206167,0.51119403,0.74654855,0.093932364,0.012702821,0.316666667,0.558333333,0.211156463,0.230204082,-0.217414966,0.100137174,0.137174211,-0.048010974
cov,Good both,120,0.826308395,0.931048069,0.675799087,0.790386131,0.105737576,0.111443664,0.325,0.608333333,0.100446429,0.127232143,-0.060267857,0.048217773,0.056030273,-0.014282227
cov,Good both,120,0.448214286,0.704411765,0.441964286,0.602205882,0.217819865,0.106557218,0.291666667,0.666666667,0.149338374,0.244990548,-0.276748582,0.147712,0.179712,-0.132288
cov,Good both,120,0.602430556,0.928030303,0.602430556,0.819128788,0.034413117,0.044948323,0.266666667,0.6,0.161889793,0.23881287,-0.155417899,0.050713668,0.06541955,-0.015462803
cov,Good both,120,0.692857143,0.871176471,0.6,0.756470588,0.033063324,0.033444647,0.291666667,0.583333333,0.165986395,0.185034014,-0.13877551,0.080329218,0.095144033,-0.030781893
cov,Good both,120,0.616666667,0.860416667,0.5875,0.764583333,0.018086609,0.014666085,0.333333333,0.5,0.168,0.228,-0.152,0.083265306,0.104693878,-0.031020408
cov,Good both,120,0.628125,0.914285714,0.575,0.801785714,0.016445709,0.049535962,0.333333333,0.533333333,0.166235207,0.21431213,-0.151072485,0.070717993,0.070717993,-0.017517301
cov,Good both,120,0.499571,0.902451913,0.488416988,0.753963221,0.092848643,0.009370682,0.308333333,0.525,0.1799,0.2499,-0.2401,0.048877551,0.070306122,-0.02255102
cov,Good both,120,0.616545894,0.883753501,0.587560386,0.836484594,0.045055758,0.030366176,0.3,0.575,0.156462585,0.223129252,-0.167346939,0.071604938,0.09382716,-0.017283951
cov,Good both,120,0.856117567,0.803318208,0.770847573,0.707458877,0.061443813,0.00827541,0.316666667,0.641666667,0.084007561,0.110094518,-0.029035917,0.0912,0.1392,-0.0608
cov,Good both,120,0.624811463,0.911683278,0.65158371,0.747508306,0.029431018,0.074251747,0.283333333,0.65,0.17059949,0.23309949,-0.150829082,0.063110352,0.063110352,-0.022827148
cov,Good both,120,0.758928571,0.794117647,0.727678571,0.744117647,0.016230069,0.01488354,0.291666667,0.666666667,0.125973535,0.169451796,-0.065330813,0.10208,0.15808,-0.04992
cov,Good both,120,0.574690402,0.878752345,0.539473684,0.744371482,0.029371127,0.037511118,0.316666667,0.566666667,0.144357423,0.229263083,-0.204699181,0.078803742,0.093729116,-0.033136556
cov,Good both,120,0.546376812,0.891176471,0.518115942,0.825816993,0.056070484,0.007262084,0.25,0.575,0.178655239,0.24936231,-0.225385165,0.072581862,0.086766259,-0.019616719
cov,Good both,120,0.380952381,0.721844935,0.351851852,0.604697227,0.1884763,0.124986049,0.225,0.525,0.166419753,0.221975309,-0.422469136,0.132488889,0.165822222,-0.107511111
cov,Good both,120,0.584810127,0.741893831,0.545207957,0.664131994,0.106586208,0.084131239,0.291666667,0.658333333,0.172668513,0.225300092,-0.195752539,0.126291257,0.165973797,-0.080057949
cov,Good both,120,0.715351812,0.777789171,0.612473348,0.730311731,0.039525851,0.007168816,0.233333333,0.558333333,0.128421053,0.170526316,-0.113684211,0.128418549,0.16979786,-0.071581451
cov,Good both,120,0.582236842,0.85290404,0.511513158,0.747474747,0.067454581,0.039101129,0.4,0.633333333,0.189516129,0.213709677,-0.213709677,0.106420927,0.115041617,-0.040130797
cov,Good both,120,0.833390587,0.894471713,0.785984198,0.799147507,0.093923519,0.079138055,0.341666667,0.591666667,0.110331633,0.137117347,-0.041454082,0.058288574,0.081726074,-0.019836426
cov,Good both,120,0.803225806,0.89937578,0.747096774,0.832334582,0.048611007,0.045733979,0.258333333,0.625,0.126913492,0.145781417,-0.052331791,0.086544888,0.086544888,-0.017932724
cov,Good both,120,0.787179487,0.885353535,0.732051282,0.781313131,0.171595942,0.122156516,0.25,0.541666667,0.126094183,0.168199446,-0.073905817,0.099643282,0.106539834,-0.031391201
